nco_code,occupation_title,task_number,task,volume,pdf_page
2264.9900,Physiotherapists and Related,1,"include all other associate professionals who treat disorders of bones, muscles and parts of the circulatory or the nervous system not elsewhere classified.",II-A,190
2265.0200,"Dietician, General",1,Determines diet values of food and food products.,II-A,191
2265.0200,"Dietician, General",2,Plans the menu and special diets with proper nutritional value.,II-A,191
2265.0200,"Dietician, General",3,"Estimates and purchases required food, equipment and supplies.",II-A,191
2265.0200,"Dietician, General",4,Ensures that food is properly prepared and sanitary conditions are maintained in cooking and catering places.,II-A,191
2265.0200,"Dietician, General",5,Instructs individuals and groups in applying principles of nutrition for selection and preparation of food.,II-A,191
2265.0200,"Dietician, General",6,May prepare educational materials on nutrition.,II-A,191
2265.0300,Animal Nutritionist,1,"determine their effect on size, weight, and development, strength and yield of milk, meat, wool, eggs etc.",II-A,191
2265.0300,Animal Nutritionist,2,Experiments nourishing of animals with different types of feeds and records improvement and growth.,II-A,191
2265.0300,Animal Nutritionist,3,"Prescribes correct feed such as greens, dry or preserved hay or leaves, grass, oats or mixed feed etc. for different types of animals for better yield of milk, meat etc.",II-A,191
2265.0300,Animal Nutritionist,4,Develops feed mixture for commercial purposes.,II-A,191
2265.0300,Animal Nutritionist,5,Classifies types of plants harmful to animals as feed.,II-A,191
2265.0300,Animal Nutritionist,6,May treat sick animals by regulating and prescribing specific feed.,II-A,191
2265.0300,Animal Nutritionist,7,"May analyse feed samples to determine protein, carbohydrate, fat, mineral and vitamin contents and trace elements.",II-A,191
2266.0300,Voice Pathologist,1,Develops and implements perceptual evaluation procedures and psychophysical methods for voice assessment.,II-A,193
2266.0300,Voice Pathologist,2,"Collects diagnostic data on individuals, such as output pressures, airflow, chest wall movements, and articular and laryngeal displacement, using scopes and other measuring instruments.",II-A,193
2266.0300,Voice Pathologist,3,"determine method of treatment, such as surgery, vocal modification, or voice therapy.",II-A,193
2266.0300,Voice Pathologist,4,"Plans and conducts voice therapy sessions, applying auditory, visual, kinematic, and biofeedback techniques.",II-A,193
2266.0401,Speech Language Pathologist and,1,"They help children and adolescents with language disorders to understand and give directions, convey ideas, and improve language skills that lead to better academic performance.",II-A,193
2266.0401,Speech Language Pathologist and,2,"may result from illness, surgery, stroke, or injury.",II-A,193
2269.0200,"Physician, Osteopathic",1,determine symptoms attributable to impairments in musculoskeletal system.,II-A,194
2269.0200,"Physician, Osteopathic",2,"Corrects disorders and afflictions of bones, muscles, nerves, and other body systems by medicinal and surgical procedures and, when deemed beneficial, manipulative therapy.",II-A,194
2269.0200,"Physician, Osteopathic",3,"Employs diagnostic images, drugs, and other aids to diagnose and treat bodily impairments.",II-A,194
2269.0200,"Physician, Osteopathic",4,May practice medical or surgical speciality.,II-A,194
2269.0400,"Physicians and Surgeons, Other",1,include physicians and surgeons not elsewhere classified.,II-A,195
2269.0700,"Medical and Health Technicians,",1,include all other modern health associate professionals not elsewhere classified.,II-A,196
2310.0200,"University and College Teacher,",1,"sets examination papers, conducts examinations and marks papers.",II-A,197
2310.0400,"University and College Teacher,",1,supervise and guide them.,II-A,198
2310.0400,"University and College Teacher,",2,Conducts seminars and holds tutorial classes.,II-A,198
2310.0400,"University and College Teacher,",3,May conduct research and guide research workers.,II-A,198
2310.0500,"University and College Teacher,",1,"sets examination papers, conducts examinations and marks papers.",II-A,198
2310.0500,"University and College Teacher,",2,May conduct or guide research work.,II-A,198
2310.0700,"University and College Teacher,",1,supervises practical work in field or laboratory.,II-A,199
2310.0700,"University and College Teacher,",2,"Sets examination papers, conducts examination and marks papers.",II-A,199
2310.0700,"University and College Teacher,",3,May conduct or guide research work.,II-A,199
2310.1100,"University and College Teacher,",1,"supervises practical work in field or laboratory, sets examination papers.",II-A,200
2310.1100,"University and College Teacher,",2,Conducts examination and marks papers.,II-A,200
2310.1100,"University and College Teacher,",3,May conduct or guide research work.,II-A,200
2310.9900,"Professors/Assistant Professors,",1,"include those teaching subjects such as library science, journalism, public administration, military science, home science,, etc., not elsewhere classified.",II-A,201
2320.0101,Certified Training Assessor,1,should be able to assess trainees objectively on theory and practical aspects.,II-A,201
2320.0101,Certified Training Assessor,2,"should have requisite aptitude for training and teaching, backed by adequate subject matter expertise and clarity regarding the documentation required.",II-A,201
2320.0101,Certified Training Assessor,3,"should be familiar with the syllabus, courseware, methods, assessment processes and documentation for structured training in the PSS.",II-A,201
2320.0102,Physical Security Trainer,1,"should be able to impart knowledge, refine understanding of the subject and hone skills of the pupils.",II-A,202
2320.0102,Physical Security Trainer,2,"should have requisite aptitude for training and teaching, backed by adequate knowledge and experience in safe, proficient handling and use of licensed firearms.",II-A,202
2320.0102,Physical Security Trainer,3,should be able to teach and train new trainees as well as those already working in the PSS without receiving formal training,II-A,202
2330.0100,Senior Secondary and Secondary,1,Conducts tests; and examinations and decides eligibility for promotion to higher standards.,II-A,202
2330.0100,Senior Secondary and Secondary,2,Maintains school registers and records.,II-A,202
2330.0100,Senior Secondary and Secondary,3,"May collect fees, conduct sports and extracurricular activities such as scouting, hobby clubs, dramatics.",II-A,202
2330.0100,Senior Secondary and Secondary,4,"May be in charge of stores and equipment, hostel, transport, canteen, library, etc.",II-A,202
2330.0300,Senior Secondary and Secondary,1,Conducts tests; and examinations and decides eligibility for promotion to higher standards.,II-A,203
2330.0300,Senior Secondary and Secondary,2,Maintains school registers and records.,II-A,203
2330.0300,Senior Secondary and Secondary,3,"May collect fees; conduct sports and extracurricular activities such as scouting, hobby clubs, and dramatics.",II-A,203
2330.0300,Senior Secondary and Secondary,4,"May be in charge of stores and equipment, hostel, transport, canteen, library, etc.",II-A,203
2330.0400,"Language Teacher, Senior",1,"Teaches spellings, pronunciation and grammar of language, gives exercises in speaking and writing language.",II-A,203
2330.0400,"Language Teacher, Senior",2,Conducts tests and examinations and decides eligibility for promotion to higher standards.,II-A,203
2330.9900,Senior Secondary and Secondary,1,"include all other teachers engaged in teaching students of high and higher secondary schools, not elsewhere classified.",II-A,203
2341.0100,Middle School Teacher,1,Maintains school registers and records.,II-A,204
2341.0100,Middle School Teacher,2,"May collect fees, conduct sports and extra-curricular activities and be in charge of library, canteen, dramatics, etc.",II-A,204
2341.0400,Primary School Teacher,1,prepares examination results.,II-A,204
2341.0400,Primary School Teacher,2,"Maintains school registers and record of attendance, collects fees and submits accounts to office.",II-A,204
2341.0400,Primary School Teacher,3,"May conduct extracurricular activities such as hobbies, sports, dramatics, etc.",II-A,204
2341.9900,"Primary School Teachers, Other",1,include all other teachers engaged in teaching students of primary school not elsewhere classified.,II-A,204
2342.0100,"Teacher, Infant School/Teacher",1,"Teaches through Montessori, happy education or other system of child education, reading and writing of alphabets, numerals and simple sentences, simple additions and subtractions, familiarises them with names, colours, shapes, sounds, etc., of objects, flowers, birds and animals.",II-A,205
2342.0100,"Teacher, Infant School/Teacher",2,Directs recreational activities and generally guides development of physical and mental activities of children.,II-A,205
2342.0100,"Teacher, Infant School/Teacher",3,"May look after and store teaching equipment, receive fees and maintain accounts, arrange for children's mid-day meals and attend to other extra-curricular or special activities, such as sports, dramatics, picnics and excursions, music, hand work, etc.",II-A,205
2351.0100,School Inspector,1,"Visits schools, checks records and connected papers; examines working conditions.",II-A,206
2351.0100,School Inspector,2,"Confers with the teaching staff on questions relating to curricula, teaching methods, equipment and other matters.",II-A,206
2351.0100,School Inspector,3,"Visits classrooms to observe teaching techniques and to evaluate teachers’ performance, and scholastic results obtained.",II-A,206
2351.0100,School Inspector,4,"Prepares reports and makes recommendations to educational authorities concerning possible changes and improvement in curricula, teaching methods, and other matters.",II-A,206
2351.0100,School Inspector,5,CIRCLE INSPECTOR SCHOOLS DISTRICT INSPECTOR OF SCHOOLS.,II-A,206
2351.9900,"Education Methods Specialists,",1,"include all other specialists in education methods, not elsewhere classified.",II-A,206
2352.0100,Teacher for Visually Impaired,1,"Instructs students in reading and writing braille, using slate and stylus or braillewriter.",II-A,206
2352.0100,Teacher for Visually Impaired,2,"Adapts school curriculum to meet needs of pupils, teaching subjects such as mental arithmetic and music listening.",II-A,206
2352.0100,Teacher for Visually Impaired,3,perform useful duties by developing their sense of touch.,II-A,206
2352.0100,Teacher for Visually Impaired,4,"May teach Braille to persons with sight and be designated as Instructor, Braille.",II-A,206
2352.0300,Teacher for Differently-Abled,1,Plans courses of study according to pupils' levels of learning.,II-A,207
2352.0300,Teacher for Differently-Abled,2,"develop interest, abilities, manual skills and co-ordination.",II-A,207
2352.0300,Teacher for Differently-Abled,3,Administers mental ability and achievement tests and interprets results.,II-A,207
2352.0300,Teacher for Differently-Abled,4,"Devises instructional methods and aids, such as audio-visual techniques and materials to meet needs of pupils.",II-A,207
2352.0300,Teacher for Differently-Abled,5,Prepares reports and make special studies on pupil behaviour.,II-A,207
2352.9900,"Teacher for Differently-Abled,",1,"includes all other teachers engaged in teaching students who are differently- abled (mentally and/or physically), not elsewhere classified.",II-A,207
2355.9900,"Arts Teacher, Other",1,"include all other teachers engaged in teaching of specialized subjects like music, commercial practice, etc., not elsewhere classified.",II-A,208
2356.0301,Master Trainer for Junior Software,1,"prepare trainees and enable them to procure, and perform to a reasonable extent, at entry level jobs that exist in the IT Services Industry.",II-A,209
2356.9900,"Information Technology Trainers,",1,"include those who engage in other teaching activities than those connected with primary, pre-primary and special education school levels not elsewhere classified.",II-A,209
2359.0100,"Handwork Teacher/Teacher, Art",1,"develops, in students, sense of colour combinations, forms and shapes and three-dimension visualisation.",II-A,209
2359.0100,"Handwork Teacher/Teacher, Art",2,"work, clay work, cutting forms and shapes in card boards, paper and plywood toy making, designing simple artistic and decorative pieces.",II-A,209
2359.0100,"Handwork Teacher/Teacher, Art",3,May also instruct in drawing and in art subjects.,II-A,209
2411.0201,Associate-Finance and Accounting,1,These individuals are also responsible for maintaining and analysing financial information for ongoing reporting and also supporting fiscal year planning and budgeting.,II-A,212
2412.0400,Risk Management Analyst,1,manages existing portfolio and operational effectiveness.,II-A,214
2412.0400,Risk Management Analyst,2,develop scores to be applied to each stage within the lifecycle of the customer.,II-A,214
2412.0400,Risk Management Analyst,3,Conducts research and analysis on the emerging trends and innovation in the industry to ensure competitiveness in the market place.,II-A,214
2412.0400,Risk Management Analyst,4,"includes co- ordination of several groups within the organization to brainstorm ideas, assess benefits, prioritise and manage the development from concept to implementation.",II-A,214
2412.0600,Commission Agent,1,"Studies market rates, supply and demand position of goods in which they is deal in various markets.",II-A,215
2412.0600,Commission Agent,2,Advises clients accordingly and purchases and sells goods in the market on behalf of customers according to their instructions.,II-A,215
2412.0600,Commission Agent,3,Makes necessary arrangements for forwarding and clearing of goods according to instructions of customers.,II-A,215
2412.0600,Commission Agent,4,"Recovers the commission and other charges incurred, from their clients.",II-A,215
2412.0600,Commission Agent,5,Maintains account of purchases and sales effected on behalf of the regular clients and recovers commission etc. periodically.,II-A,215
2412.0600,Commission Agent,6,Attends to all correspondence relating to the business.,II-A,215
2412.9900,"Financial and Investment Advisors,",1,"includes all other accountants engaged in maintaining accounts, not elsewhere classified.",II-A,215
2421.0101,Analyst-Research,1,"prepare companies profiles, conducts financial analysis and valuations, benchmarking, collect data using techniques, such as questionnaires, surveys, interviews and electronic data collection as part of the job.",II-A,216
2423.9900,"Personal and Careers Professionals,",1,"include all other personnel and occupational professionals, engaged in guidance, human resource management, job evaluation, etc., not elsewhere classified.",II-A,218
2431.0100,Market Research Analyst,1,"May gather information on competitors, prices, sales, and methods of marketing and distribution.",II-A,221
2431.0100,Market Research Analyst,2,May use survey results to create a marketing campaign based on regional preferences and buying habits.,II-A,221
2431.0100,Market Research Analyst,3,"Collects and analyses data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand.",II-A,221
2431.0100,Market Research Analyst,4,"Conducts research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals.",II-A,221
2431.0100,Market Research Analyst,5,Develops and implements procedures for identifying advertising needs.,II-A,221
2431.0100,Market Research Analyst,6,"Devises and evaluates methods and procedures for collecting data (such as surveys, opinion polls, or questionnaires), or arranges to obtain existing data.",II-A,221
2431.0100,Market Research Analyst,7,"Forecasts and tracks marketing and sales trends, analysing collected data.",II-A,221
2431.0100,Market Research Analyst,8,"Gathers data on competitors and analyses their prices, sales, and method of marketing and distribution.",II-A,221
2431.0100,Market Research Analyst,9,Measures and assesses customer and employee satisfaction.,II-A,221
2431.0100,Market Research Analyst,10,"Measures the effectiveness of marketing, advertising, and communications programmes and strategies.",II-A,221
2431.0100,Market Research Analyst,11,Monitors industry statistics and follows trends in trade literature.,II-A,221
2431.0100,Market Research Analyst,12,"Prepares reports of findings, illustrating data graphically and translating complex findings into written text.",II-A,221
2431.0101,Regional Service Marketing,1,The individual is able to craft the messaging and positioning for service offerings.,II-A,222
2431.0201,Product Brand Manager,1,Automotive) Product Manager is responsible for implementation of promotional and branding framework of a product and co- ordination with the sales function to ensure effective implementation of the branding strategies.,II-A,222
2431.0202,Account Executive (Advertising,1,Agency) Account Executive (Advertising Agency) is responsible for managing preparation of clients’ advertisement end-products.,II-A,222
2431.0300,Caption Writer,1,determine which caption phrases require editing.,II-A,223
2431.0300,Caption Writer,2,Enters commands to synchronize captions with dialogue and place on the screen.,II-A,223
2431.0300,Caption Writer,3,Translates different Indian language dialogues into English language captions or English dialogue into different Indian language captions.,II-A,223
2431.0300,Caption Writer,4,Operates computerised captioning system for movies or television productions for hearing-impaired and different Indian language speaking viewers.,II-A,223
2431.0300,Caption Writer,5,Oversees encoding of captions to master tape of television production.,II-A,223
2431.0300,Caption Writer,6,Discusses captions with Directors or Producers of movie and television productions.,II-A,223
2431.0300,Caption Writer,7,"Edits translations for correctness of grammar, punctuation, and clarity of expression.",II-A,223
2431.0501,Market Research Associate-Sales,1,"provide inputs to teams involved in design, manufacturing or management of product lifecycle.",II-A,223
2431.0503,Market Research Associate-Product,1,"provide inputs to teams involved in design, manufacturing or management of product lifecycle.",II-A,224
2431.0601,Product Executive,1,"The job also involves competitive landscape analysis, developing partnership with third parties, facilitating contractual, product positioning and pricing strategies.",II-A,224
2431.0671,Traffic Co-ordinator,1,is responsible for managing and scheduling advertisement inventory.,II-A,225
2431.0800,Propagandist,1,Plans tour programmes and visits places accordingly.,II-A,225
2431.0800,Propagandist,2,Selects suitable site for giving demonstrations.,II-A,225
2431.0800,Propagandist,3,"Makes necessary announcements through loud speaker etc., to attract public.",II-A,225
2431.0800,Propagandist,4,"Introduces products to public assembled and explains their working and utility through actual demonstrations, charts, filmstrips, etc.",II-A,225
2431.0800,Propagandist,5,Canvasses products among local dealers and persuades them to stock goods to meet likely local demands.,II-A,225
2431.0800,Propagandist,6,Books orders and supplies products to local dealers either immediately or arranges to supply them expeditiously.,II-A,225
2431.0800,Propagandist,7,Submits reports of their canvassing activities to higher authorities and seeks their guidance where necessary.,II-A,225
2431.0800,Propagandist,8,May play musical gramophone records to attract public for giving demonstration.,II-A,225
2431.0800,Propagandist,9,May distribute free samples to assembled public and effect retail sale.,II-A,225
2431.9900,Advertising and Marketing,1,"include marketing professionals who develop and co-ordinate advertising strategies and campaigns, determine the market for new goods and services, and identify and develop market opportunities for new and existing goods and services not elsewhere classified.",II-A,226
2432.0201,Digital Marketing/Social Media,1,Manager Digital Marketing/Social Media Manager is responsible for designing and supervising implementation of the complete Digital and Social media marketing strategy for the assigned product.,II-A,227
2432.9900,"Public Relations Professionals,",1,"include professionals engaged in studying, advising on and applying operational methods relating to various aspects of business undertakings, such as marketing, advertising, public relations, application of rules concerning patents, or steps to be taken in setting up and running a business, and home economics principles not elsewhere classified.",II-A,227
2433.0101,Area Sales Officer,1,"work is responsible for studying the market, understanding the client requirement and offering products and services to satisfy the customer requirement.",II-A,228
2433.0101,Area Sales Officer,2,work co- ordinates with the channel sales partners and interacts directly with customers for sale of products and services.,II-A,228
2433.0700,"Field Officer, Insurance",1,Works out plans to develop business in a given area or organization.,II-A,230
2433.0700,"Field Officer, Insurance",2,Selects and hires new agents and trains them in selling insurance to clients.,II-A,230
2433.0700,"Field Officer, Insurance",3,plan of work for their agents and guides and supervises their day-to-day work by contacting prospective clients along with their agent if considered necessary.,II-A,230
2433.0700,"Field Officer, Insurance",4,work in scientific manner by persuading them to make regular calls on clients and to maintain their work-book (daily record).,II-A,230
2433.0700,"Field Officer, Insurance",5,Recommends appointments of suitable agents in replacement of inactive agents when considered necessary.,II-A,230
2433.0700,"Field Officer, Insurance",6,plans devised by the insurance company.,II-A,230
2433.0700,"Field Officer, Insurance",7,Maintains social contacts with all important persons of locality.,II-A,230
2433.0700,"Field Officer, Insurance",8,Ensures that maximum business from given area or organizations is secured.,II-A,230
2433.0700,"Field Officer, Insurance",9,Keeps authorities informed of developments in their area or organization.,II-A,230
2433.0700,"Field Officer, Insurance",10,Investigates claim cases.,II-A,230
2433.0700,"Field Officer, Insurance",11,"Acts as Liaison Officer between corporation, insuring public and Commission Agent.",II-A,230
2433.0700,"Field Officer, Insurance",12,May collect first premium deposit.,II-A,230
2434.0101,Sales and Pre-Sales Analyst,1,manage relationships with various internal and external stakeholders to ensure inflow of required inputs.,II-A,230
2434.0101,Sales and Pre-Sales Analyst,2,This role also involves supporting all aspects of the pre-sales cycle from requirement analysis to successful evaluation and solution.,II-A,230
2511.0101,Deployment Engineer,1,"is responsible for ensuring that software systems are fully deployed, implemented and functioning and are configured with the appropriate hardware requirements.",II-A,232
2511.0103,Engineer-Packaging,1,"is responsible for creating a new, company-specific or industry vertical-specific image of a software product before releasing it.",II-A,233
2511.0105,Analyst,1,act as facilitators in the process of providing solutions and development of the end product/service.,II-A,233
2511.9900,"System Analysts, Other",1,develop computing concepts and advise on or engage in their practical application and all other Computer System Designers and Analysts not elsewhere classified.,II-A,234
2512.0203,Design Engineer (Product Engineer),1,"Involvement is in all aspects of software development including requirement analysis, design, implementation and testing.",II-A,235
2512.0205,Junior Software Developer,1,They are responsible for assisting in performing the key activities and tasks involved in the assigned role.,II-A,236
2512.0207,Engineer Trainee-Engineering,1,"Analysis Engineer Trainee supports engineering analysis activities such as engineering analysis, hardware and software development, research, testing etc.",II-A,236
2512.0301,Software Developer-Product,1,"The job also involves application enhancement, debugging, maintenance and documentation.",II-A,237
2512.0701,Application Maintenance Engineer,1,provide on-going/ad-hoc support for software products or customized applications aimed towards correction of faults/bugs or improvement of performance,II-A,238
2513.0201,User Interface Developer,1,"UI Developer is responsible for creating complex user interfaces for a variety of applications, such as computer programs, databases and websites.",II-A,239
2513.0302,Media Developer-Application,1,may work standalone or along with application/functional developers to improve the aesthetics of the application being developed.,II-A,240
2519.0302,Test Engineer-IT Services,1,"The job involves documenting, reporting and tracking software defects using manual testing software.",II-A,242
2519.0401,Quality Assurance Engineer-,1,"Software Products QA Engineer is responsible for designing and implementing Quality Assurance, norms, standards and guidelines which are to be followed across the organization.",II-A,242
2519.0501,Quality Engineer,1,control and other quality initiatives such as Six-Sigma and Kaizen.,II-A,243
2522.0201,Security Analyst,1,"They also need to ensure the confidentiality, integrity and availability of data to the 'right' users within/outside of the organization.",II-A,245
2523.0301,Tester/Test Engineer-Hardware,1,perform tests to see how a newly designed device will interact with another device from another vendor or developer.,II-A,246
2523.0301,Tester/Test Engineer-Hardware,2,develops and executes test plans and conducts testing to ensure quality outputs are generated.,II-A,246
2523.0501,Hardware Engineer,1,"They oversee the installation of computer systems, chips and circuit boards as well as peripherals including keyboards, routers and printers.",II-A,247
2611.0300,Advocate General,1,Represents Government in suits and proceedings in original and appellate side of High Court.,II-A,249
2611.0300,Advocate General,2,"Appears on behalf of Government before High Court, Special Bench in Supreme Court or any other court as required.",II-A,249
2611.0300,Advocate General,3,performs other duties of legal character as may be assigned to him from time to time.,II-A,249
2611.0300,Advocate General,4,"Attends meetings of Legislature or Legislative Council and Committees thereof, as required.",II-A,249
2611.0300,Advocate General,5,Heads of Secretariat Department.,II-A,249
2611.0300,Advocate General,6,May advise Government Pleader in conducting criminal cases and act as leading counsel if directed by Government.,II-A,249
2611.0300,Advocate General,7,May appear in private cases to which Government is not party.,II-A,249
2611.0600,Public Prosecutor,1,"Studies records of cases sent to Sessions Court by Trial Magistrate and ensures against omission and irregularities, which might vitiate proceedings in court.",II-A,250
2611.0600,Public Prosecutor,2,"Presents evidence, conducts cross-examination and argues case for prosecution.",II-A,250
2611.0600,Public Prosecutor,3,"Appears and pleads on behalf of prosecution in all appeal cases, application for reduction of sentences etc.",II-A,250
2611.0600,Public Prosecutor,4,Advises Government Officers in district regarding any civil or criminal proceedings and matters concerning Government interests.,II-A,250
2611.0600,Public Prosecutor,5,work to Assistant Public Prosecutors.,II-A,250
2611.0600,Public Prosecutor,6,May appear for Government in civil and revenue cases if designated as GOVERNMENT PLEADER.,II-A,250
2611.0600,Public Prosecutor,7,May advise Government to withdraw prosecution in appropriate cases.,II-A,250
2611.0800,Attorney at Law,1,Files case in court.,II-A,250
2611.0800,Attorney at Law,2,inspect and examine relevant documents.,II-A,250
2611.0800,Attorney at Law,3,prepares brief for hearing before Judge.,II-A,250
2611.0800,Attorney at Law,4,Discusses case with Advocate concerned and submits brief to him.,II-A,250
2611.0800,Attorney at Law,5,"Advises Advocate, attends court and assists Advocate in presenting case before judge.",II-A,250
2611.0800,Attorney at Law,6,May function as Notary Public if so appointed by Government.,II-A,250
2611.0800,Attorney at Law,7,May appear in court on behalf of client.,II-A,250
2611.0900,Advocate,1,Studies facts and available documents pertaining to case and decides line of action.,II-A,251
2611.0900,Advocate,2,"Advises client to procure evidence, further documents, etc. in support of case.",II-A,251
2611.0900,Advocate,3,"acts, rules, rulings and precedents of courts of similar nature.",II-A,251
2611.0900,Advocate,4,"Prepares and files plaint, complaint, written statement, affidavits, etc. on behalf of client, or defends accused in court of law.",II-A,251
2611.0900,Advocate,5,Examines and cross-examines witnesses of both sides in court and submits exhibits in support of their case.,II-A,251
2611.0900,Advocate,6,Advises party regarding course to be followed from time to time.,II-A,251
2611.0900,Advocate,7,Argues case for client.,II-A,251
2611.0900,Advocate,8,"Performs conveyancing work such as preparing notices, bonds, wills, agreements, for clients.",II-A,251
2611.1002,Legal Associate,1,is responsible for reviewing and analysing large volumes of litigation documents and providing research support to corporate legal departments.,II-A,251
2611.9900,"Lawyers, Other",1,include lawyers not classified elsewhere.,II-A,251
2612.0400,Munsif,1,Hears preliminary arguments and examines documents in support of complaint.,II-A,253
2612.0400,Munsif,2,Issues notices to other parties for filing written statements supported by affidavits.,II-A,253
2612.0400,Munsif,3,"Frames issues, records evidence and admits relevant documents as exhibits.",II-A,253
2612.0400,Munsif,4,"Records evidence of plaintiff, defendant and their witnesses, listens to arguments of counsels of both sides and delivers judgement.",II-A,253
2612.0400,Munsif,5,May try criminal cases while under training.,II-A,253
2612.0800,"Chairman, Administrative Tribunal",1,Presides over Tribunal and examines cases referred to it.,II-A,254
2612.0800,"Chairman, Administrative Tribunal",2,Listens to arguments advanced by parties or their Advocates and notes important points.,II-A,254
2612.0800,"Chairman, Administrative Tribunal",3,Records oral evidence and admit as exhibits documents tendered by parties.,II-A,254
2612.0800,"Chairman, Administrative Tribunal",4,"Evaluates all factors, makes decision and submit it to Government for implementation.",II-A,254
2612.1000,"President, Industrial Tribunal",1,Presides over Court or Tribunal and examines cases referred to it.,II-A,255
2612.1000,"President, Industrial Tribunal",2,Listens to arguments advanced by parties or their Advocates and notes important points.,II-A,255
2612.1000,"President, Industrial Tribunal",3,Records oral evidence and admits as exhibits documents tendered by parties.,II-A,255
2612.1000,"President, Industrial Tribunal",4,"Evaluates all factors, makes decision and submits it to Government for implementation.",II-A,255
2612.1000,"President, Industrial Tribunal",5,Constitutes Benches where necessary.,II-A,255
2612.1000,"President, Industrial Tribunal",6,control over Labour Court and subordinate offices.,II-A,255
2612.1000,"President, Industrial Tribunal",7,"May visit place of work or establishment to study process of work, working conditions or cause of dispute.",II-A,255
2612.1300,"Member, Consumer Redressal",1,"work or establishment if necessary for studying consumer products, services and consultancy processes/conditions.",II-A,256
2612.1300,"Member, Consumer Redressal",2,Gives decision in disputes after considering all material on record.,II-A,256
2612.1300,"Member, Consumer Redressal",3,Act and decides disputes referred to him under the Act in same manner.,II-A,256
2612.1300,"Member, Consumer Redressal",4,"Hears and decides matters or disputes in the matter of transport, telephones, electricity, constructions, banking, insurance, medical treatment etc.",II-A,256
2612.9900,"Judges and Magistrates, Other",1,includes all other judges and magistrates not classified elsewhere.,II-A,256
2619.0100,Prothonotary and Senior Master,1,"Ensures proper filing of cases and appeals from Original side of High Court, scrutinises applications such as consent orders for adjournment, issue of writs, issue of certified copies etc.",II-A,256
2619.0100,Prothonotary and Senior Master,2,"Exercises judicial powers delegated to him/her, such as issuing interlocutory orders in suit matters, entertaining of application under Company Law, issuing Pauper-Petitions, appointing of guardian ad-litem of minors and lunatics, settling index of Appeal Paper Books, acceding of plaints, and executes other functions assigned to him by Chief Justice and other Judges.",II-A,256
2619.0100,Prothonotary and Senior Master,3,work to subordinates and ensures that they are properly executed.,II-A,256
2619.0100,Prothonotary and Senior Master,4,"May look after accounts matters, sealing and keeping of records of original side of High Court, Examination of title of properties before sale, submission of report to court etc.",II-A,256
2619.0200,"Registrar (Appellate Side, High",1,"Attends to all administrative matters pertaining to subordinate courts and to correspondence with Government, other High Courts and district and subordinate courts.",II-A,257
2619.0200,"Registrar (Appellate Side, High",2,"Recommends postings of District, Sessions and Assistant Judges to Government as directed by Chief justice.",II-A,257
2619.0200,"Registrar (Appellate Side, High",3,"Exercise quasi-judicial powers in respect of admission of appeals, granting time for filing of process fee, written process, deficit court fee, printing cost and making cases ready for hearing by bench.",II-A,257
2619.0200,"Registrar (Appellate Side, High",4,Attends to enrolment and disciplinary matters regarding Advocates and District Pleaders.,II-A,257
2619.0200,"Registrar (Appellate Side, High",5,Controls expenditure and acts as custodian of moneys deposited.,II-A,257
2619.0200,"Registrar (Appellate Side, High",6,Audits monthly returns received from district and subordinate courts.,II-A,257
2619.0200,"Registrar (Appellate Side, High",7,Supervises compilation of administrative report of Civil and Criminal Justice and High Court publications.,II-A,257
2619.0200,"Registrar (Appellate Side, High",8,work to subordinates and ensures their proper execution.,II-A,257
2619.0500,Taxing Master,1,Receives statements of cost from party and the Attorney or from winning party and losing party or bills payable to parties concerned from fund of particular estate or trust.,II-A,258
2619.0500,Taxing Master,2,set table of fees prescribed by rules of High Court on Original Side; and uses their discretion as regards item of fees payable to Attorney or Solicitor according to labour involved.,II-A,258
2619.0500,Taxing Master,3,Decides disputes regarding valuation of suits for purpose of court fees Hears Attorneys and gives decision in disputed cases of taxation.,II-A,258
2619.0500,Taxing Master,4,May suggest amount for which bill tendered should be settled.,II-A,258
2619.0700,Official Assignee (High Court),1,Investigates affairs and conduct of insolvent in private examination and thereafter in public examination before insolvency Judge and submits report to court.,II-A,258
2619.0700,Official Assignee (High Court),2,Tries to convert insolvent’s estate into as much money as possible and distributes it among various creditors according to law.,II-A,258
2619.0700,Official Assignee (High Court),3,"Receives, scrutinises and admits or rejects claims of creditors as appropriate.",II-A,258
2619.0700,Official Assignee (High Court),4,"Receives and scrutinises any scheme of settlement suggested by the insolvent, discusses it amongst creditors and reports their opinion to court.",II-A,258
2619.0800,Court Receiver and Liquidator,1,"repairs, pays out taxes and conducts disbursements in respect of property placed under his charge by order of Court.",II-A,259
2619.0800,Court Receiver and Liquidator,2,Effects sale of property to execute court decrees or orders.,II-A,259
2619.0800,Court Receiver and Liquidator,3,Takes charge of estate of company in liquidation and investigates into its affairs.,II-A,259
2619.0800,Court Receiver and Liquidator,4,Receives and scrutinises claims of creditors as well as shareholders and submits his report to Court with recommendations.,II-A,259
2619.0800,Court Receiver and Liquidator,5,Converts estate into money under orders of court and distributes money realised amongst creditors according to law.,II-A,259
2619.0800,Court Receiver and Liquidator,6,Submits accounts of money realised through sale of estates to court for scrutiny and obtains formal orders of court for winding up company.,II-A,259
